step,pos_x,pos_y,alt_idx,coverage,cov_trace
1,3.336857557296753,35.0,0,0.04939542063287883,0.19217256784439085
2,1.0,38.0,0,0.055955749935683044,0.3062550497055053
3,4.0,38.20361328125,0,0.06200154360689478,0.3964621019363403
4,7.0,40.62492752075195,0,0.07113455106766144,0.5121188616752624
5,10.0,39.83979415893555,0,0.08052482634422434,0.605149986743927
6,13.0,42.83979415893555,0,0.08952919989709288,0.7324292016029357
7,16.0,40.69053649902344,0,0.100205814252637,0.8431422424316405
8,19.0,43.69053649902344,0,0.10869565217391304,0.9704214572906493
9,22.0,46.0,0,0.11306920504244919,1.0840007710456847
10,23.737173080444336,45.596221923828125,0,0.116027784924106,1.137505222558975
11,23.737173080444336,45.596221923828125,0,0.116027784924106,1.137505222558975
12,23.737173080444336,45.596221923828125,0,0.116027784924106,1.137505222558975
13,23.737173080444336,45.596221923828125,0,0.116027784924106,1.137505222558975
14,23.737173080444336,45.596221923828125,0,0.116027784924106,1.137505222558975
15,23.737173080444336,45.596221923828125,0,0.116027784924106,1.137505222558975
16,23.737173080444336,45.596221923828125,0,0.116027784924106,1.137505222558975
17,23.737173080444336,45.596221923828125,0,0.116027784924106,1.137505222558975
18,23.556440353393555,44.86058807373047,0,0.12065860560843839,1.1602305245399473
19,23.556440353393555,44.86058807373047,0,0.12065860560843839,1.1602305245399473
20,23.556440353393555,44.86058807373047,0,0.12065860560843839,1.1602305245399473
21,23.556440353393555,44.86058807373047,0,0.12065860560843839,1.1602305245399473
22,23.556440353393555,44.86058807373047,0,0.12065860560843839,1.1602305245399473
23,23.556440353393555,44.86058807373047,0,0.12065860560843839,1.1602305245399473
24,23.556440353393555,44.86058807373047,1,0.14111139696423977,1.3102305245399473
25,23.556440353393555,44.86058807373047,1,0.14111139696423977,1.3102305245399473
26,23.556440353393555,44.86058807373047,1,0.14111139696423977,1.3102305245399473
27,23.556440353393555,44.86058807373047,1,0.14111139696423977,1.3102305245399473
28,23.556440353393555,44.86058807373047,1,0.14111139696423977,1.3102305245399473
29,24.370649337768555,46.0,1,0.1440699768458966,1.3522433340549467
30,27.370649337768555,46.0,1,0.15899151016207871,1.4422433340549468
31,30.370649337768555,43.96840286254883,1,0.17558528428093645,1.5509385454654692
32,33.37065124511719,40.96840286254883,1,0.19102135322871108,1.6782178032398223
33,36.37065124511719,39.08742904663086,1,0.2068433239001801,1.784445182085037
34,38.98957061767578,37.69059371948242,1,0.22485207100591717,1.8734895503520965
35,41.98957061767578,34.69059371948242,1,0.24131721121687677,2.0007687652111055
36,44.98957061767578,31.690593719482422,1,0.25701054798044765,2.1280479800701144
37,46.0,28.690593719482422,1,0.26768716233599177,2.2230157172679905
38,44.447914123535156,25.690593719482422,1,0.2846668381785439,2.3243472206592566
39,45.24365997314453,22.690593719482422,1,0.2948289169024955,2.417459462881089
40,44.6989631652832,19.690593719482422,1,0.3067918703370208,2.5089309084415445
41,44.811920166015625,21.949190139770508,1,0.3094931824028814,2.576773487329484
42,44.780574798583984,18.949190139770508,1,0.3147671726267044,2.6667784011363995
43,44.75685501098633,21.914703369140625,1,0.3147671726267044,2.7557466447353374
